"ID_REF"	"GSM1847063"	"GSM1847064"	"GSM1847065"	"GSM1847066"	"GSM1847067"	"GSM1847068"	"GSM1847069"	"GSM1847070"
"ILMN_2966602"	-3.90882	-3.331921	4.3274	7.730083	-7.185542	1.305435	1.182397	-1.724764
"ILMN_2966632"	1302.057	1410.479	1193.324	1207.935	1332.328	1378.218	1133.15	1376.463
"ILMN_2966687"	-7.241226	-3.119395	-8.266337	-6.870413	0.6597918	-11.78018	-6.488648	-2.804059
"ILMN_2966722"	3521.672	3802.357	4050.79	3924.957	3704.168	3426.08	3730.493	4161.883
"ILMN_2966766"	-5.59157	-8.030027	-5.332358	-10.45481	-7.124345	-2.410506	-5.118004	-8.628797
"ILMN_2966826"	28.45574	33.23124	41.11188	29.76736	37.62154	32.99564	48.0756	45.55432
"ILMN_2966991"	17.91424	14.10203	3.537132	-0.4309523	26.41918	8.470447	12.09581	15.39376
"ILMN_2967037"	-2.158686	0.8732699	-5.031203	-1.899758	-4.35718	-2.167805	-12.10992	-1.595213
"ILMN_2967254"	-0.396847	-5.633378	-1.26535	1.024597	1.737982	5.264261	9.919172	-6.595679
"ILMN_2967255"	5.097685	3.766741	-4.636086	9.359943	5.578742	8.406949	8.306877	6.814921
"ILMN_2967266"	5214.63	4550.721	5452.985	4595.516	5339.071	5643.105	5202.172	4762.366
"ILMN_2967294"	83.3337	75.3511	88.53162	93.21674	90.30183	103.3786	106.2225	90.02479
"ILMN_2967302"	14.34298	11.73411	12.52707	4.907293	9.273057	10.29998	-3.399835	6.962073
"ILMN_2967322"	-3.554552	-5.257217	0.2271021	4.378349	1.360357	-4.33165	-0.4178993	-0.1351387
"ILMN_2967362"	457.3953	492.4757	448.5046	481.1497	469.8337	509.7907	480.7368	567.3801
"ILMN_2967445"	46.04483	53.88169	47.31212	51.03258	31.80863	38.86845	32.21252	35.19928
"ILMN_2967455"	115.408	103.8505	110.4523	99.13573	95.94963	115.9605	116.4634	78.11717
"ILMN_2967528"	2891.502	2742.331	2587.506	2769.888	2942.833	3204.502	3043.641	2818.801
"ILMN_2967576"	1105.046	1125.886	1057.083	1038.931	980.689	1102.012	1076.315	1033.347
"ILMN_2967622"	30.75819	23.80449	29.3273	22.96851	18.39588	30.82392	15.53076	17.7338
"ILMN_2967654"	-1.847745	0.6443709	4.403176	0.9274691	1.961016	-1.46446	4.351591	4.220841
"ILMN_2967671"	10.88842	11.50242	14.06608	0.7254227	17.39998	14.74258	13.34048	17.78821
"ILMN_2967750"	37.32445	50.06066	36.84438	15.31237	71.09013	79.30843	58.44316	96.49931
"ILMN_2967824"	74.62252	61.26332	76.63569	99.68842	85.03925	99.0559	67.81277	67.02073
